author,Ne,Me,Se,Nc,Mc,Sc
Blashki(75%150),13,6.40,5.40,18,11.40,9.60
Hormazabal(86),17,11.00,8.20,16,19.00,8.20
Jacobson(75-100),10,17.50,8.80,6,23.00,8.80
Jenkins(75),7,12.30,9.90,7,20.00,10.50
Lecrubier(100),73,15.70,10.60,73,18.70,10.60
Murphy(100),26,8.50,11.00,28,14.50,11.00
Nandi(97),17,25.50,24.00,10,53.20,11.20
Petracca(100),11,6.20,7.60,10,10.00,7.60
Philipp(100),105,-8.10,3.90,46,-8.50,5.20
Rampello(100),22,13.40,2.30,19,19.70,1.30
Reifler(83),13,12.50,7.60,15,12.50,7.60
Rickels(70),29,1.99,0.77,39,2.54,0.77
Robertson(75),13,11.00,8.20,13,15.00,8.20
Rouillon(98),78,15.80,6.80,71,17.10,7.20
Tan(70),23,-8.50,8.60,23,-8.30,6.00
Tetreault(50-100),11,51.90,18.50,11,74.30,18.50
Thompson(75),11,8.00,8.10,18,10.00,9.70
