"x","temp_c"
"2000-copany bay-2",9.24743451178074
"2001-choctawhatchee bay-2",29.1707769967616
"2002-aransas bay-3",62.3510573757812
"2003-choctawhatchee bay-4",89.8886238224804
"2004-choctawhatchee bay-4",96.9581629615277
"2005-choctawhatchee bay-2",49.8948485590518
"2006-choctawhatchee bay-4",53.4013118594885
"2007-galveston bay-2",54.3358770664781
"2008-choctawhatchee bay-1",7.27978583890945
"2009-copany bay-3",8.80645362194628
"2000-choctawhatchee bay-2",21.3535565650091
"2001-copany bay-1",3.22921960614622
"2002-galveston bay-4",71.3128797709942
"2003-choctawhatchee bay-4",42.6405015634373
"2004-copany bay-1",92.0706337084994
"2005-galveston bay-1",95.573716587387
"2006-choctawhatchee bay-3",99.215221288614
"2007-copany bay-1",80.570197571069
"2008-galveston bay-1",98.5820180270821
"2009-galveston bay-2",46.4061317266896
"2000-galveston bay-1",39.2355480231345
"2001-choctawhatchee bay-2",95.8311996422708
"2002-copany bay-1",49.3006971897557
"2003-copany bay-3",29.8756564036012
"2004-copany bay-1",58.682872611098
"2005-copany bay-1",19.9437742121518
"2006-galveston bay-4",55.1018111407757
"2007-galveston bay-4",77.2707598749548
"2008-copany bay-2",25.3952142549679
"2009-galveston bay-4",51.9669974688441
"2000-choctawhatchee bay-4",83.0956098157912
"2001-copany bay-2",40.6988509465009
"2002-galveston bay-3",24.9738088808954
"2003-choctawhatchee bay-1",44.2325958050787
"2004-galveston bay-3",59.0230202069506
"2005-choctawhatchee bay-4",59.4398104818538
"2006-copany bay-3",63.7131131719798
"2007-copany bay-1",63.4468445088714
"2008-choctawhatchee bay-2",12.2152808587998
"2009-galveston bay-4",24.8109477339312
